,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.6625,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.654761904761905,0.671052631578947,0.6875,0.6375,0.670731707317073,0.653846153846154
1,0.8,0.425,0.421052631578947,0.428571428571429,0.4,0.45,0.41025641025641,0.439024390243902,0.790697674418605,0.810810810810811,0.829268292682927,0.769230769230769,0.80952380952381,0.789473684210526
2,0.875,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.851851851851852,0.89873417721519,0.896103896103896,0.855421686746988,0.873417721518987,0.876543209876543
3,0.825,0.45,0.458333333333333,0.4375,0.55,0.35,0.5,0.388888888888889,0.797752808988764,0.859154929577465,0.876543209876543,0.772151898734177,0.835294117647059,0.813333333333333
4,1.0,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,1.0,1.0,1.0,1.0,1.0,1.0
5,0.975,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.965116279069767,0.986486486486487,0.988095238095238,0.960526315789474,0.976470588235294,0.973333333333333
6,0.786458333333333,0.475,0.484848484848485,0.428571428571429,0.8,0.15,0.60377358490566,0.222222222222222,0.756756756756757,0.827160493827161,0.857142857142857,0.712765957446808,0.803827751196172,0.765714285714286
7,0.78125,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.755813953488372,0.810810810810811,0.822784810126582,0.740740740740741,0.787878787878788,0.774193548387097
8,0.755208333333333,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.75,0.760869565217391,0.77319587628866,0.736842105263158,0.761421319796954,0.748663101604278
9,0.8,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.779069767441861,0.824324324324324,0.8375,0.7625,0.807228915662651,0.792207792207792
10,0.79375,0.65,0.6875,0.625,0.55,0.75,0.611111111111111,0.681818181818182,0.828125,0.770833333333333,0.706666666666667,0.870588235294118,0.762589928057554,0.81767955801105
11,0.825,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.816091954022989,0.835616438356164,0.855421686746988,0.792207792207792,0.835294117647059,0.813333333333333
12,0.88125,0.475,0.487179487179487,0.0,0.95,0.0,0.644067796610169,0.0,0.904109589041096,0.862068965517241,0.846153846153846,0.914634146341463,0.874172185430464,0.887573964497041
13,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.906666666666667,0.894117647058824,0.883116883116883,0.91566265060241,0.894736842105263,0.904761904761905
14,0.81875,0.525,0.515151515151515,0.571428571428571,0.85,0.2,0.641509433962264,0.296296296296296,0.784810126582278,0.851851851851852,0.837837837837838,0.802325581395349,0.810457516339869,0.826347305389222
15,0.7875,0.425,0.421052631578947,0.428571428571429,0.4,0.45,0.41025641025641,0.439024390243902,0.782051282051282,0.792682926829268,0.782051282051282,0.792682926829268,0.782051282051282,0.792682926829268
16,0.80625,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.794871794871795,0.817073170731707,0.805194805194805,0.807228915662651,0.8,0.812121212121212
17,0.79375,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.814285714285714,0.777777777777778,0.74025974025974,0.843373493975904,0.775510204081633,0.809248554913295
18,0.78125,0.6,0.7,0.566666666666667,0.35,0.85,0.466666666666667,0.68,0.810810810810811,0.755813953488372,0.740740740740741,0.822784810126582,0.774193548387097,0.787878787878788
19,0.8125,0.35,0.375,0.3125,0.45,0.25,0.409090909090909,0.277777777777778,0.825,0.8,0.804878048780488,0.82051282051282,0.814814814814815,0.810126582278481
20,0.825,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.807692307692308,0.841463414634146,0.828947368421053,0.821428571428571,0.818181818181818,0.831325301204819
